NPU Peak TOPS:,Turbo Boost до:,price,title,url,Архитектура:,Брой транзистори:,Гаранционен срок:,Графично ядро:,Кеш памет:,Логически ядра:,Максимална консумация (TDP):,Множител:,Модел:,Окомплектовка:,Охладител:,Производствен процес:,Работна честота:,"Размери на опаковката, см:",Сокет:,Тегло с опаковката:,Физически ядра:
,4.70 GHz,Ft110987.20,Процесор Intel Core i5-14400 (2.5GHz) TRAY - CM8071504821112,https://www.ardes.bg/product/intel-core-i5-14400-2-5ghz-tray-cm8071504821112-501437,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 730,L2: 9.5 MB L3: 20 MB,16,65 W,,Intel Core i5-14400,Без опаковка,,10 nm,2.50 GHz,41.1 x 13.3 x 12.6 см,LGA1700,2.48 кг,10
,4.90 GHz,Ft68194.60,Процесор Intel Core i5-12600KF (3.6GHz) TRAY - CM8071504555228,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-tray-cm8071504555228-237820,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 9.5 MB L3: 20 MB,16,150 W,,Intel Core i5-12600KF,Без опаковка,Не,10 nm,3.60 GHz,,LGA1700,,10
,5.30 GHz,Ft87734.60,Процесор Intel Core i5-14600KF (3.5GHz) TRAY - CM8071504821014,https://www.ardes.bg/product/intel-core-i5-14600kf-3-5ghz-tray-cm8071504821014-462230,Raptor Lake,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 20 MB L3: 24 MB,20,125 W,,Intel Core i5-14600KF,Без опаковка,Не,10 nm,3.50 GHz,,LGA1700,,14
,4.60 GHz,Ft70148.60,Процесор Intel Core i5-13400F (1.8GHz) Tray - CM8071504821107,https://www.ardes.bg/product/intel-core-i5-13400f-1-8ghz-tray-cm8071504821107-454107,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 9.5 MB L3: 20 MB,16,148 W,,Intel Core i5-13400F,Без опаковка,Не,10 nm,1.80 GHz,,LGA1700,,10
,4.70 GHz,Ft77964.60,Процесор Intel Core i5-14400F (2.5GHz) - BX8071514400F,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-bx8071514400f-380862,Raptor Lake,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 9.5 MB L3: 20 MB,16,65 W,,Intel Core i5-14400F,С опаковка,Intel Laminar RM1,10 nm,2.50 GHz,41.1 x 13.3 x 12.6 см,LGA1700,2.48 кг,10
,5.10 GHz,Ft139906.40,Процесор Intel Core i7-13700 (1.5GHz) - BX8071513700,https://www.ardes.bg/product/intel-core-i7-13700-1-5ghz-bx8071513700-307196,,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L3: 30 MB,24,219 W,,Intel Core i7-13700,С опаковка,Да,10 nm,1.50 GHz,,LGA1700,,16
13,5.70 GHz,Ft236238.60,Процесор Intel Core Ultra 9 285K (3.20GHz) - BX80768285K,https://www.ardes.bg/product/intel-core-ultra-9-285k-3-20ghz-bx80768285k-443533,Arrow Lake-S,17 800 милиона,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel Arc Graphics 140V,L2: 40 MB L3: 36 MB,24,125 W,37,Intel Core Ultra 9 285K,С опаковка,Не,3 nm,3.20 GHz,,LGA1851,,24
,4.70 GHz,Ft112550.40,Процесор Intel Core i5-14400 (2.5GHz) - BX8071514400,https://www.ardes.bg/product/intel-core-i5-14400-2-5ghz-bx8071514400-380861,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 730,L2: 9.5 MB L3: 20 MB,16,65 W,,Intel Core i5-14400,С опаковка,Intel Laminar RM1,10 nm,2.50 GHz,41.1 x 13.3 x 12.6 см,LGA1700,2.48 кг,10
,5.10 GHz,Ft110987.20,Процесор Intel Core i5-13600K (2.6GHz) TRAY - CM8071504821005,https://www.ardes.bg/product/intel-core-i5-13600k-2-6ghz-tray-cm8071504821005-465401,Raptor Lake-S,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L2: 20 MB L3: 24 MB,20,181 W,35,Intel Core i5-13600K,Без опаковка,Не,10 nm,2.60 GHz,,LGA1700,,14
,4.40 GHz,Ft45919.00,Процесор Intel Core i5-12400F (2.5GHz) - BX8071512400FSRL4W,https://www.ardes.bg/product/intel-core-i5-12400f-2-5ghz-bx8071512400fsrl4w-242514,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 7.5 MB L3: 18 MB,12,65 W,,Intel Core i5-12400F,С опаковка,Да,10 nm,2.50 GHz,,LGA1700,,6
,5.30 GHz,Ft107274.60,Процесор Intel Core i5-14600K (3.5GHz) TRAY - CM8071504821015,https://www.ardes.bg/product/intel-core-i5-14600k-3-5ghz-tray-cm8071504821015-460332,,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L2: 20 MB L3: 24 MB,20,125 W,,Intel Core i5-14600K,Без опаковка,Не,10 nm,3.50 GHz,,LGA1700,,14
,4.60 GHz,Ft78746.20,Процесор Intel Core i5-12500 (3.0GHz) - BX8071512500SRL5V,https://www.ardes.bg/product/intel-core-i5-12500-3-0ghz-bx8071512500srl5v-242511,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L2: 7.5 MB L3: 18 MB,12,65 W,,Intel Core i5-12500,С опаковка,Да,10 nm,3.00 GHz,,LGA1700,,6
,4.40 GHz,Ft58424.60,Процесор Intel Core i5-11400 (2.6GHz) TRAY - CM8070804497015,https://www.ardes.bg/product/intel-core-i5-11400-2-6ghz-tray-cm8070804497015-217146,,,"24 месеца за физически лица, 12 месеца за юридически лица
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 730,L2: 3 MB L3: 12 MB,12,65 W,,Intel Core i5-11400,Без опаковка,Не,14 nm,2.60 GHz,,LGA1200,,6
,4.40 GHz,Ft48654.60,Процесор Intel Core i5-12400F (2.5GHz) TRAY - CM8071504555318,https://www.ardes.bg/product/intel-core-i5-12400f-2-5ghz-tray-cm8071504555318-259998,,,"24 месеца за физически лица, 12 месеца за юридически лица
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 7.5 MB L3: 18 MB,12,65 W,,Intel Core i5-12400F,Без опаковка,Не,10 nm,2.50 GHz,,LGA1700,,6
,4.30 GHz,Ft77964.60,Процесор Intel Core i5-10400 (2.9GHz) - BX8070110400SRH3C,https://www.ardes.bg/product/intel-core-i5-10400-2-9ghz-bx8070110400srh3c-174348,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 630,L3: 12 MB,12,65 W,,Intel Core i5-10400,С опаковка,Да,14 nm,2.90 GHz,,LGA1200,,6
,4.40 GHz,Ft76401.40,Процесор Intel Core i5-12400 (2.5GHz) TRAY - CM8071504555317,https://www.ardes.bg/product/intel-core-i5-12400-2-5ghz-tray-cm8071504555317-244001,,,"24 месеца за физически лица, 12 месеца за юридически лица
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 730,L2: 7.5 MB L3: 18 MB,12,65 W,,Intel Core i5-12400,Без опаковка,Не,10 nm,2.50 GHz,,LGA1700,,6
,5.00 GHz,Ft108251.60,Процесор Intel Core i5-14500 (2.6GHz) - BX8071514500,https://www.ardes.bg/product/intel-core-i5-14500-2-6ghz-bx8071514500-380875,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L2: 11.5 MB L3: 24 MB,20,65 W,,Intel Core i5-14500,С опаковка,Intel Laminar RM1,10 nm,2.60 GHz,41.1 x 13.3 x 12.6 см,LGA1700,2.48 кг,14
,5.10 GHz,Ft89688.60,Процесор Intel Core i5-13600KF (3.5GHz) TRAY - CM8071504821006,https://www.ardes.bg/product/intel-core-i5-13600kf-3-5ghz-tray-cm8071504821006-449919,Raptor Lake,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 20 MB L3: 24 MB,20,181 W,35,Intel Core i5-13600KF,Без опаковка,Не,10 nm,3.50 GHz,,LGA1700,,14
,4.40 GHz,Ft68390.00,Процесор Intel Core i5-11400 (2.6GHz) - BX8070811400SRKP0,https://www.ardes.bg/product/intel-core-i5-11400-2-6ghz-bx8070811400srkp0-205378,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 730,L3: 12 MB,12,65 W,,Intel Core i5-11400,С опаковка,Да,14 nm,2.60 GHz,,LGA1200,,6
,5.30 GHz,Ft107860.80,Процесор Intel Core i5-14600K (3.5GHz) - BX8071514600K,https://www.ardes.bg/product/intel-core-i5-14600k-3-5ghz-bx8071514600k-361380,,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L2: 20 MB L3: 24 MB,20,125 W,,Intel Core i5-14600K,С опаковка,Не,10 nm,3.50 GHz,,LGA1700,,14
,5.30 GHz,Ft93010.40,Процесор Intel Core i5-14600KF (3.5GHz) - BX8071514600KF,https://www.ardes.bg/product/intel-core-i5-14600kf-3-5ghz-bx8071514600kf-361381,,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 20 MB L3: 24 MB,20,125 W,,Intel Core i5-14600KF,С опаковка,Не,10 nm,3.50 GHz,,LGA1700,,14
,4.90 GHz,Ft69757.80,Процесор Intel Core i5-12600KF (3.6GHz) - BX8071512600KF,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-bx8071512600kf-237821,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L3: 20 MB,16,150 W,,Intel Core i5-12600KF,С опаковка,Не,10 nm,3.60 GHz,,LGA1700,,10
,4.80 GHz,Ft107470.00,Процесор Intel Core i5-13500 (1.8GHz) TRAY - CM8071505093101,https://www.ardes.bg/product/intel-core-i5-13500-1-8ghz-tray-cm8071505093101-475901,Raptor Lake-S,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L2: 11.5 MB L3: 24 MB,20,154 W,25,Intel Core i5-13500,Без опаковка,Не,10 nm,1.80 GHz,,LGA1700,,14
,4.40 GHz,Ft40057.00,Процесор Intel Core i5-11400F (2.60GHz) TRAY - CM8070804497016,https://www.ardes.bg/product/intel-core-i5-11400f-2-60ghz-tray-cm8070804497016-208820,,,"24 месеца за физически лица, 12 месеца за юридически лица
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 512 KB L3: 12 MB,12,65 W,,Intel Core i5-11400F,Без опаковка,Не,14 nm,2.60 GHz,,LGA1200,,6
,4.60 GHz,Ft70148.60,Процесор Intel Core i5-13400F (1.8GHz) Tray - CM8071504821107,https://www.ardes.bg/product/intel-core-i5-13400f-1-8ghz-tray-cm8071504821107-454107,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 9.5 MB L3: 20 MB,16,148 W,,Intel Core i5-13400F,Без опаковка,Не,10 nm,1.80 GHz,,LGA1700,,10
,4.70 GHz,Ft110987.20,Процесор Intel Core i5-14400 (2.5GHz) TRAY - CM8071504821112,https://www.ardes.bg/product/intel-core-i5-14400-2-5ghz-tray-cm8071504821112-501437,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 730,L2: 9.5 MB L3: 20 MB,16,65 W,,Intel Core i5-14400,Без опаковка,,10 nm,2.50 GHz,41.1 x 13.3 x 12.6 см,LGA1700,2.48 кг,10
,4.90 GHz,Ft68194.60,Процесор Intel Core i5-12600KF (3.6GHz) TRAY - CM8071504555228,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-tray-cm8071504555228-237820,,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 9.5 MB L3: 20 MB,16,150 W,,Intel Core i5-12600KF,Без опаковка,Не,10 nm,3.60 GHz,,LGA1700,,10
,5.30 GHz,Ft87734.60,Процесор Intel Core i5-14600KF (3.5GHz) TRAY - CM8071504821014,https://www.ardes.bg/product/intel-core-i5-14600kf-3-5ghz-tray-cm8071504821014-462230,Raptor Lake,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 20 MB L3: 24 MB,20,125 W,,Intel Core i5-14600KF,Без опаковка,Не,10 nm,3.50 GHz,,LGA1700,,14
,4.70 GHz,Ft77964.60,Процесор Intel Core i5-14400F (2.5GHz) - BX8071514400F,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-bx8071514400f-380862,Raptor Lake,,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Без вградено графично ядро,L2: 9.5 MB L3: 20 MB,16,65 W,,Intel Core i5-14400F,С опаковка,Intel Laminar RM1,10 nm,2.50 GHz,41.1 x 13.3 x 12.6 см,LGA1700,2.48 кг,10
,5.10 GHz,Ft139906.40,Процесор Intel Core i7-13700 (1.5GHz) - BX8071513700,https://www.ardes.bg/product/intel-core-i7-13700-1-5ghz-bx8071513700-307196,,,"60 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel UHD Graphics 770,L3: 30 MB,24,219 W,,Intel Core i7-13700,С опаковка,Да,10 nm,1.50 GHz,,LGA1700,,16
13,5.70 GHz,Ft236238.60,Процесор Intel Core Ultra 9 285K (3.20GHz) - BX80768285K,https://www.ardes.bg/product/intel-core-ultra-9-285k-3-20ghz-bx80768285k-443533,Arrow Lake-S,17 800 милиона,"36 месеца гаранция
Виж информация за гаранционния сервиз
 Удължи гаранцията с 1 година
 Удължи гаранцията с 2 години
Виж условията за удължена гаранция",Intel Arc Graphics 140V,L2: 40 MB L3: 36 MB,24,125 W,37,Intel Core Ultra 9 285K,С опаковка,Не,3 nm,3.20 GHz,,LGA1851,,24
