Turbo Boost до:,currency,page,price,solid state drive (ssd),source,source_currency,source_scraper,title,url,Гаранционен срок:,Кеш памет:,Логически ядра:,Работна честота:,Сокет:,Физически ядра:,видеокарта,височина на опаковката,гаранция,допълнителен вентилатор,допълнително,други опции,дължина на опаковката,дънна платка,захранване,кабели за компоненти,кутия,марка,оперативна памет,операционна система,охладител,процесор,свързаност,твърд диск,термопаста за процесора,цвят,широчина на опаковката
,BGN,,лв1437.00,"1tb kingston nv3
+0€/ +0лв.
 2tb kingston nv3
виж продукта
+146 €/+285.55 лв.",Desktop.bg,BGN,DesktopScraper,G:RIGS SPARK Lite (Intel),https://desktop.bg/grigs-spark-grigs_spark_lite_intel_,,,,,,,"asrock amd radeon rx 7600 challenger oc
+0€/ +0лв.
 asrock amd radeon rx 6600 challenger white 8gb
виж продукта
-98 €/-191.67 лв.
 промо msi geforce rtx 4060 ventus 2x white 8g oc
виж продукта
-70 €/-136.91 лв.
пцд: 2€ (-3600%)
 asrock amd radeon rx 7600 steel legend oc
-57 €/-111.48 лв.
 msi geforce rtx 5060 8g shadow 2x oc
-47 €/-91.92 лв.
 msi geforce rtx 5060 8g ventus 2x oc white
виж продукта
-30 €/-58.68 лв.
 asrock amd radeon rx 9060 xt challenger 8gb oc
-6 €/-11.74 лв.",557 мм,36 месеца гаранция,"стандартен брой
+0€/ +0лв.
 промо thermalright tl-c12cw-s
виж продукта
+7 €/+13.69 лв.
пцд: 10€ (-30%)
 raijintek ageras 12 white argb кит от 2 бр.
виж продукта
+18 €/+35.21 лв.
 deepcool fd14 argb wh
виж продукта
+19 €/+37.16 лв.
 deepcool fd12 argb wh
+19 €/+37.16 лв.","g:rigs spark се изработва със стандартно включени допълнителни елементи:
комплект от 3 висококачествени argb вентилатора - 120mm за оптимално охлаждане и впечатляваща визия.
два предни панела, предлагайки избор от стъклен или меш външен вид на кутията отпред. 
комплект custom/плетени захранващи кабели с индивидуална оплетка.
допълнителна argb led лента, осигуряваща ефектно осветление на вашата g:rigs конфигурация

 

снимките в галерията са илюстративни и е възможно финалния вид на вашата конфигурация да се различава
тези промени могат да настъпят в зависимост от избраните от вас компоненти. промени могат да настъпят и при актуализации на компонентите в g:rigs конфигурацията. ако имате въпроси относно визията на вашата конфигурация моля свържете се екипа ни.
rgb ефектите на вентилаторите и осветлението се управляват с бутон на предния панел и/или чрез софтуер при синхронизация с дънната платка. компоненти с rgb, като ram памети, се контролират чрез софтуера на производителя или на дънната платка (msi center, asus armoury crate и др.)

 

стандартният срок за изработка и доставка - 7 до 12 работни дни
(след потвърждение на поръчката от клиента, освен ако не е посочен друг срок или при форсмажорни обстоятелства).
запазваме си правото да удължим срока при сезонни промоции, като клиентите ще бъдат предварително уведомен.
имате въпроси или нужда от съвет при избор на допълнителни компоненти? свържете се с екипа на g:rigs на нашия телефон или ни пишете.
02 490 1111
grigs@desktop.bg

 

гаранция и тестове
всички g:rigs конфигурации се предлагат с 36 месеца гаранция. за компоненти в конфигурацията с по-дълъг гаранционен срок се прилага удължената гаранция, предоставена от производителя.
всяка конфигурация се настройва и тества индивидуално, включително с актуализация до последна стабилна версия на bios за дънната платка. охлаждането и управлението на вентилаторите се конфигурират според избрания хардуер с цел постигане на максимално тиха и ефективна работа във всички режими.
преди изпращане към клиента, всяка g:rigs конфигурация преминава през специално подбрани тестове с различни натоварвания за проверка на всички компоненти в системата.
цената на асемблирането и настройката е съобразена със сложността на вашата g:rigs конфигурация и е калкулирана в цената ѝ. 

 

важно: g:rigs конфигурациите не се поддържат на склад в готов за изпращане вид.
поради специфичния характер на g:rigs конфигурациите, включително възможността за избор на допълнителни и/или заместващи компоненти в конфигуратора, те се сглобяват и тестват след получаване на поръчка с избраните от клиента елементи. всяка конфигурация, независимо от избора на допълнителни или заместващи компоненти, представлява продукт, изработен по индивидуална клиентска спецификация и желание.
конфигураторът има за цел единствено да подпомогне процеса на избор на потребителя и не следва да се тълкува като стандартен, наличен или предварително изготвен от търговеца продукт, нито да ограничава индивидуалния избор и решение на клиента.
g:rigs компютрите и конфигурациите не се произвеждат предварително, а се изработват, тестват и доставят в определения срок след получаване и потвърждение на индивидуалната поръчка. всяка поръчка е съобразена с индивидуалните предпочитания и специфични изисквания на клиента.
поради това, за всички g:rigs конфигурации не се прилага правото на отказ съгласно чл. 57, т. 3 от закона за защита на потребителите, поради тяхната изработка по поръчка и съобразно индивидуалните изисквания на клиента.
виж още","без персонализация
+0€/ +0лв.
 персонална табела с име или nickname - до 8 символа
виж продукта
+30 €/+58.68 лв.",468 мм,gigabyte b760 ds3h ddr4,"msi mag a650bnl
+0€/ +0лв.
 промо deepcool pk750d 750w bronze
виж продукта
+13 €/+25.43 лв.
пцд: 17€ (-23%)",комплект custom/плетени кабели с бяла оплетка,cougar duoface rgb white,spark,16gb (2x8gb) ddr4 3200mt/s kingston fury beast black rgb,"с операционна система (неактивирана) + инсталирани драйвери и ъпдейти
+0€/ +0лв.
 microsoft windows home 11 oem english 64-битов
виж продукта
+139 €/+271.86 лв.
 microsoft windows pro 11 oem english 64-битов
виж продукта
+165 €/+322.71 лв.",xigmatek ak4 digital arctic,intel core i5-14400f,"стандартна за избрания модел дънна платка
+0€/ +0лв.
 orico bta-53
виж продукта
+9 €/+17.60 лв.
 tp-link ub500
виж продукта
+12 €/+23.47 лв.
 tp-link 300mbps mini wireless n usb adapter
виж продукта
+12 €/+23.47 лв.
 tp-link archer t2u plus
виж продукта
+15 €/+29.34 лв.
 tp-link wireless n usb adapter
виж продукта
+18 €/+35.21 лв.",без допълнителен диск,g:rigs high performance thermal compound,бял,285 мм
,BGN,,лв2092.00,"1tb kingston nv3
+0€/ +0лв.
 1tb crucial t500 ssd gen4 nvme m.2
виж продукта
-5 €/-9.78 лв.
 1tb kingston kc3000 m.2 pcie 4.0 nvme
виж продукта
+1 €/+1.96 лв.
 1tb samsung ssd 980 pcie 3.0
виж продукта
+24 €/+46.94 лв.
 2tb samsung 990 pro m.2 nvme
виж продукта
+125 €/+244.48 лв.
 2tb samsung 990 evo plus
виж продукта
+144 €/+281.64 лв.
 2tb kingston kc3000 m.2 pcie 4.0 nvme
виж продукта
+192 €/+375.52 лв.
 4tb samsung 990 evo plus
виж продукта
+354 €/+692.37 лв.
 4tb samsung 990 pro ssd m.2 nvme
виж продукта
+355 €/+694.32 лв.",Desktop.bg,BGN,DesktopScraper,G:RIGS ProLine Max (Intel 14Gen),https://desktop.bg/grigs-proline-grigs_proline_max_intel_14gen_,,,,,,,"palit geforce rtx 4060 ti dual 8gb
+0€/ +0лв.
 промо msi geforce rtx 4060 ventus 2x white 8g oc
виж продукта
-100 €/-195.58 лв.
пцд: -28€ (-72€)
 msi geforce rtx 5060 8g shadow 2x oc
-77 €/-150.60 лв.
 промо msi geforce rtx 5060 8g ventus 2x oc white
виж продукта
-60 €/-117.35 лв.
пцд: -30€ (-30€)
 промо inno3d geforce rtx 4060 ti 8gb twin x2 oc white
виж продукта
+30 €/+58.68 лв.
пцд: 112€ (-73%)
 промо palit geforce rtx 4060 ti white 8gb
+56 €/+109.53 лв.
пцд: 89€ (-37%)
 промо msi geforce rtx 5060 ti 8g gaming oc
+90 €/+176.03 лв.
пцд: 104€ (-13%)
 промо asus dual geforce rtx 4060 ti evo white oc edition 8gb
виж продукта
+90 €/+176.03 лв.
пцд: 142€ (-36%)
 gigabyte geforce rtx 5060 ti aero oc 8g
виж продукта
+97 €/+189.72 лв.
 palit geforce rtx 5060 ti white oc 16gb
+112 €/+219.05 лв.
 inno3d geforce rtx 5060 ti twin x2 oc white 16gb
+117 €/+228.83 лв.
 palit geforce rtx 5060 ti infinity 3 16gb
виж продукта
+199 €/+389.21 лв.
 промо inno3d geforce rtx 5070 twin x2 oc 12gb
виж продукта
+216 €/+422.46 лв.
пцд: 310€ (-30%)
 промо palit geforce rtx 5070 infinity 3 12gb
виж продукта
+220 €/+430.28 лв.
пцд: 275€ (-19%)
 промо msi geforce rtx 5070 12g shadow 2x oc
виж продукта
+256 €/+500.69 лв.
пцд: 307€ (-16%)
 промо msi geforce rtx 5070 12g ventus 2x oc white
виж продукта
+276 €/+539.81 лв.
пцд: 313€ (-11%)
 inno3d geforce rtx 5070 twin x2 oc white 12gb
виж продукта
+306 €/+598.49 лв.
 промо msi geforce rtx 5070 12g gaming trio oc white
виж продукта
+320 €/+625.87 лв.
пцд: 406€ (-21%)
 промо msi geforce rtx 5070 12g gaming trio oc
виж продукта
+320 €/+625.87 лв.
пцд: 406€ (-21%)
 промо asus tuf gaming geforce rtx 5070 12gb oc edition
виж продукта
+330 €/+645.43 лв.
пцд: 407€ (-18%)
 asus prime geforce rtx 5070 12gb oc edition
виж продукта
+559 €/+1093.31 лв.
 msi geforce rtx 5070 ti 16g shadow 3x oc
виж продукта
+641 €/+1253.69 лв.
 промо inno3d geforce rtx 5080 16gb x3 oc white
виж продукта
+890 €/+1740.70 лв.
пцд: 1095€ (-18%)
 промо gigabyte geforce rtx 5080 aero oc sff 16g
+1002 €/+1959.75 лв.
пцд: 1155€ (-13%)
 промо msi geforce rtx 5080 16g ventus 3x oc white
виж продукта
+1020 €/+1994.95 лв.
пцд: 1150€ (-11%)",553 мм,36 месеца гаранция,,"g:rigs pro line се изработва със стандартно включени допълнителни елементи:
комплект от 3 висококачествени вентилатора - 140mm + 120mm за оптимално охлаждане.
преден панел на кутията с естествени дървени елементи

 

снимките в галерията са илюстративни и е възможно финалния вид на вашата конфигурация да се различава
тези промени могат да настъпят в зависимост от избраните от вас компоненти. промени могат да настъпят и при актуализации на компонентите в g:rigs конфигурацията. ако имате въпроси относно визията на вашата конфигурация моля свържете се екипа ни.
rgb ефектите на вентилаторите и осветлението се управляват с бутон на предния панел и/или чрез софтуер при синхронизация с дънната платка. компоненти с rgb, като ram памети, се контролират чрез софтуера на производителя или на дънната платка (msi center, asus armoury crate и др.)

 

стандартният срок за изработка и доставка - 7 до 12 работни дни
(след потвърждение на поръчката от клиента, освен ако не е посочен друг срок или при форсмажорни обстоятелства).
запазваме си правото да удължим срока при сезонни промоции, като клиентите ще бъдат предварително уведомен.
имате въпроси или нужда от съвет при избор на допълнителни компоненти? свържете се с екипа на g:rigs на нашия телефон или ни пишете.
02 490 1111
grigs@desktop.bg

 

гаранция и тестове
всички g:rigs конфигурации се предлагат с 36 месеца гаранция. за компоненти в конфигурацията с по-дълъг гаранционен срок се прилага удължената гаранция, предоставена от производителя.
всяка конфигурация се настройва и тества индивидуално, включително с актуализация до последна стабилна версия на bios за дънната платка. охлаждането и управлението на вентилаторите се конфигурират според избрания хардуер с цел постигане на максимално тиха и ефективна работа във всички режими.
преди изпращане към клиента, всяка g:rigs конфигурация преминава през специално подбрани тестове с различни натоварвания за проверка на всички компоненти в системата.
цената на асемблирането и настройката е съобразена със сложността на вашата g:rigs конфигурация и е калкулирана в цената ѝ. 

 

важно: g:rigs конфигурациите не се поддържат на склад в готов за изпращане вид.
поради специфичния характер на g:rigs конфигурациите, включително възможността за избор на допълнителни и/или заместващи компоненти в конфигуратора, те се сглобяват и тестват след получаване на поръчка с избраните от клиента елементи. всяка конфигурация, независимо от избора на допълнителни или заместващи компоненти, представлява продукт, изработен по индивидуална клиентска спецификация и желание.
конфигураторът има за цел единствено да подпомогне процеса на избор на потребителя и не следва да се тълкува като стандартен, наличен или предварително изготвен от търговеца продукт, нито да ограничава индивидуалния избор и решение на клиента.
g:rigs компютрите и конфигурациите не се произвеждат предварително, а се изработват, тестват и доставят в определения срок след получаване и потвърждение на индивидуалната поръчка. всяка поръчка е съобразена с индивидуалните предпочитания и специфични изисквания на клиента.
поради това, за всички g:rigs конфигурации не се прилага правото на отказ съгласно чл. 57, т. 3 от закона за защита на потребителите, поради тяхната изработка по поръчка и съобразно индивидуалните изисквания на клиента.
виж още",,565 мм,"msi b760 gaming plus wifi
+0€/ +0лв.
 промо asus tuf gaming b760-plus wifi
виж продукта
+20 €/+39.12 лв.
пцд: 45€ (-55%)
 промо msi mag b760 tomahawk wifi
виж продукта
+46 €/+89.97 лв.
пцд: 75€ (-38%)
 msi mag z790 tomahawk wifi
виж продукта
+95 €/+185.80 лв.","be quiet! system power 11 m 750w atx 3.1, bulk
+0€/ +0лв.
 промо deepcool pn850m atx 3.1
виж продукта
+10 €/+19.56 лв.
пцд: 23€ (-56%)
 msi mag a850gn pcie5 atx 3.1
виж продукта
+37 €/+72.37 лв.
 msi mag a850gl atx 3.0 pcie5
виж продукта
+40 €/+78.23 лв.
 asus tuf gaming 850w gold atx 3.0 pcie5
виж продукта
+55 €/+107.57 лв.
 asrock sl-850g atx 3.1
виж продукта
+58 €/+113.44 лв.
 msi mpg a1000g pcie5
виж продукта
+90 €/+176.03 лв.
 msi mag a850gl white atx 3.0 pcie5
виж продукта
+90 €/+176.03 лв.
 asrock sl-1000g atx 3.1
виж продукта
+93 €/+181.89 лв.
 seasonic focus gx-1000 v4 atx 3.1
виж продукта
+104 €/+203.41 лв.
 seasonic focus gx-1000 v4 white atx 3.1
виж продукта
+114 €/+222.97 лв.
 asrock pg-1300g atx 3.1
виж продукта
+173 €/+338.36 лв.
 asrock tc-1300t atx 3.1
виж продукта
+380 €/+743.22 лв.",,"fractal design north tempered glass chalk white
+0€/ +0лв.
 промо fractal design north xl chalk white tg clear
виж продукта
+76 €/+148.64 лв.
пцд: 95€ (-19%)",proline,"32gb (2x16gb) ddr5 6000 mt/s cl36 kingston fury beast rgb expo
+0€/ +0лв.
 32gb (2x16gb) ddr5 6000 mt/s kingston fury beast black
-57 €/-111.48 лв.
 32gb (2x16gb) ddr5 6000 mt/s crucial pro oc gaming black
0 €/0.00 лв.
 96gb (2x48gb) ddr5 6000 mt/s kingston fury renegade black/silver
виж продукта
+934 €/+1826.75 лв.","с операционна система (неактивирана) + инсталирани драйвери и ъпдейти
+0€/ +0лв.
 microsoft windows home 11 oem english 64-битов
виж продукта
+139 €/+271.86 лв.
 microsoft windows pro 11 oem english 64-битов
виж продукта
+165 €/+322.71 лв.","thermaltake toughair 710 gray
+0€/ +0лв.
 deepcool ak400 zero dark
виж продукта
-5 €/-9.78 лв.
 deepcool ak620
виж продукта
+19 €/+37.16 лв.
 deepcool ak620 zero dark
виж продукта
+21 €/+41.07 лв.
 deepcool ak500 zero dark
виж продукта
+25 €/+48.90 лв.
 deepcool le360 wh v2
виж продукта
+47 €/+91.92 лв.
 noctua nh-u14s
виж продукта
+54 €/+105.62 лв.
 промо deepcool ls520 black argb
виж продукта
+56 €/+109.53 лв.
пцд: 76€ (-26%)
 промо asus prime lc 360 argb
виж продукта
+60 €/+117.35 лв.
пцд: 103€ (-41%)
 noctua nh-d15
виж продукта
+68 €/+133.00 лв.
 noctua nh-d15s chromax.black
виж продукта
+68 €/+133.00 лв.
 noctua nh-u12a chromax.black
виж продукта
+95 €/+185.80 лв.
 noctua nh-d15 g2
виж продукта
+109 €/+213.19 лв.
 промо thermalright stream vision 360 white
виж продукта
+110 €/+215.14 лв.
пцд: 122€ (-9%)
 nzxt kraken plus 240 rgb white
виж продукта
+139 €/+271.86 лв.
 thermaltake th360 v2 ultra ex argb sync snow edition
виж продукта
+177 €/+346.18 лв.
 nzxt kraken plus 360 rgb white
виж продукта
+204 €/+398.99 лв.","intel core i5-14400f (10 ядра / 16 нишки, 1.80 - 4.70ghz, 20 mb smart cache, 65 w)
+0€/ +0лв.
 intel core i5-14600k
виж продукта
+103 €/+201.45 лв.
 промо intel core i7-14700kf
виж продукта
+143 €/+279.68 лв.
пцд: 169€ (-15%)
 intel core i7-14700
виж продукта
+171 €/+334.45 лв.
 intel core i7-14700k
виж продукта
+224 €/+438.11 лв.
 intel core i9-14900kf
виж продукта
+293 €/+573.06 лв.
 промо intel core i9-14900k
виж продукта
+303 €/+592.62 лв.
пцд: 375€ (-19%)
 intel core i9-14900
виж продукта
+443 €/+866.44 лв.",стандартна за избрания модел дънна платка,"без допълнителен диск
+0€/ +0лв.
 2tb 7200rpm seagate barracuda
виж продукта
+113 €/+221.01 лв.
 4tb 5400rpm seagate skyhawk
виж продукта
+161 €/+314.89 лв.","g:rigs high performance thermal compound
+0€/ +0лв.
 arctic mx-6 thermal compound 2gr
виж продукта
+4 €/+7.82 лв.
 thermal grizzly kryonaut thermal grease - 1 gramm
виж продукта
+9 €/+17.60 лв.
 промо noctua nt-h2 thermal compound 3.5g
виж продукта
+12 €/+23.47 лв.
пцд: 17€ (-29%)",бял,326 мм
,BGN,,лв1235.00,"1tb kingston nv3
+0€/ +0лв.
 2tb crucial t500 ssd gen4 nvme m.2
виж продукта
+130 €/+254.26 лв.
 2tb kingston nv3
виж продукта
+146 €/+285.55 лв.",Desktop.bg,BGN,DesktopScraper,G:RIGS NOVA Lite (Intel),https://desktop.bg/grigs-nova-grigs_nova_lite_intel_,,,,,,,"msi geforce rtx 5060 8g ventus 2x oc
+0€/ +0лв.
 asrock amd radeon rx 6600 challenger white 8gb
виж продукта
-68 €/-133.00 лв.
 asrock amd radeon rx 7600 steel legend oc
-27 €/-52.81 лв.
 промо msi geforce rtx 5060 8g ventus 2x oc white
виж продукта
0 €/0.00 лв.
пцд: 30€ (-100%)
 asrock amd radeon rx 9060 xt challenger 8gb oc
+24 €/+46.94 лв.",505 мм,36 месеца гаранция,"стандартен брой
+0€/ +0лв.
 +1 брой допълнителен 120 wt argb вентилатор
+12 €/+23.47 лв.
 +3 броя допълнителни 120 wt argb вентилатори
+30 €/+58.68 лв.","g:rigs nova се изработва със стандартно включени допълнителни елементи:
комплект от 7 висококачествени argb вентилатора - 120mm за оптимално охлаждане и впечатляваща визия.
комплект custom/плетени захранващи кабели с индивидуална оплетка.
допълнителна argb led лента, осигуряваща ефектно осветление на вашата g:rigs конфигурация

 

снимките в галерията са илюстративни и е възможно финалния вид на вашата конфигурация да се различава
тези промени могат да настъпят в зависимост от избраните от вас компоненти. промени могат да настъпят и при актуализации на компонентите в g:rigs конфигурацията. ако имате въпроси относно визията на вашата конфигурация моля свържете се екипа ни.
rgb ефектите на вентилаторите и осветлението се управляват с бутон на предния панел и/или чрез софтуер при синхронизация с дънната платка. компоненти с rgb, като ram памети, се контролират чрез софтуера на производителя или на дънната платка (msi center, asus armoury crate и др.)

 

стандартният срок за изработка и доставка - 7 до 12 работни дни
(след потвърждение на поръчката от клиента, освен ако не е посочен друг срок или при форсмажорни обстоятелства).
запазваме си правото да удължим срока при сезонни промоции, като клиентите ще бъдат предварително уведомен.
имате въпроси или нужда от съвет при избор на допълнителни компоненти? свържете се с екипа на g:rigs на нашия телефон или ни пишете.
02 490 1111
grigs@desktop.bg

 

гаранция и тестове
всички g:rigs конфигурации се предлагат с 36 месеца гаранция. за компоненти в конфигурацията с по-дълъг гаранционен срок се прилага удължената гаранция, предоставена от производителя.
всяка конфигурация се настройва и тества индивидуално, включително с актуализация до последна стабилна версия на bios за дънната платка. охлаждането и управлението на вентилаторите се конфигурират според избрания хардуер с цел постигане на максимално тиха и ефективна работа във всички режими.
преди изпращане към клиента, всяка g:rigs конфигурация преминава през специално подбрани тестове с различни натоварвания за проверка на всички компоненти в системата.
цената на асемблирането и настройката е съобразена със сложността на вашата g:rigs конфигурация и е калкулирана в цената ѝ. 

 

важно: g:rigs конфигурациите не се поддържат на склад в готов за изпращане вид.
поради специфичния характер на g:rigs конфигурациите, включително възможността за избор на допълнителни и/или заместващи компоненти в конфигуратора, те се сглобяват и тестват след получаване на поръчка с избраните от клиента елементи. всяка конфигурация, независимо от избора на допълнителни или заместващи компоненти, представлява продукт, изработен по индивидуална клиентска спецификация и желание.
конфигураторът има за цел единствено да подпомогне процеса на избор на потребителя и не следва да се тълкува като стандартен, наличен или предварително изготвен от търговеца продукт, нито да ограничава индивидуалния избор и решение на клиента.
g:rigs компютрите и конфигурациите не се произвеждат предварително, а се изработват, тестват и доставят в определения срок след получаване и потвърждение на индивидуалната поръчка. всяка поръчка е съобразена с индивидуалните предпочитания и специфични изисквания на клиента.
поради това, за всички g:rigs конфигурации не се прилага правото на отказ съгласно чл. 57, т. 3 от закона за защита на потребителите, поради тяхната изработка по поръчка и съобразно индивидуалните изисквания на клиента.
виж още","без персонализация
+0€/ +0лв.
 персонална табела с име или nickname - до 8 символа
виж продукта
+30 €/+58.68 лв.",480 мм,gigabyte b760 ds3h ddr4,"deepcool pk650d 650w bronze
+0€/ +0лв.
 промо deepcool pk750d 750w bronze
виж продукта
+4 €/+7.82 лв.
пцд: 8€ (-50%)",комплект custom/плетени кабели с бяла оплетка,1stplayer megaview mv8 white - без вентилатори,nova,"16gb (2x8gb) ddr4 3200 mt/s corsair vengeance lpx white
+0€/ +0лв.
 32gb (2x16gb) ddr4 3200 mt/s xpg spectrix d35g rgb black
виж продукта
+151 €/+295.33 лв.","с предварително инсталирана операционна система (неактивирана) + инсталирани драйвери и ъпдейти
+0€/ +0лв.
 microsoft windows home 11 oem english 64-битов
виж продукта
+139 €/+271.86 лв.
 microsoft windows pro 11 oem english 64-битов
виж продукта
+165 €/+322.71 лв.",xigmatek ak4 digital arctic,intel core i5-14400f,"стандартна за избрания модел дънна платка
+0€/ +0лв.
 orico bta-53
виж продукта
+9 €/+17.60 лв.
 tp-link 300mbps mini wireless n usb adapter
виж продукта
+12 €/+23.47 лв.
 tp-link ub500
виж продукта
+12 €/+23.47 лв.
 tp-link archer t2u plus
виж продукта
+15 €/+29.34 лв.
 tp-link wireless n usb adapter
виж продукта
+18 €/+35.21 лв.",без допълнителен диск,kingpin cooling kpx high performance thermal compound,бял,350 мм
5.10 GHz,BGN,1,лв459.62,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13600KF (3.5GHz) TRAY - CM8071504821006,https://www.ardes.bg/product/intel-core-i5-12400f-2-5ghz-bx8071512400fsrl4w-242514,60 месеца гаранция,L2: 20 MB L3: 24 MB,20,3.50 GHz,LGA1700,14,,,,,,,,,,,,,,,,,,,,,
5.10 GHz,BGN,1,лв459.62,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13600KF (3.5GHz) TRAY - CM8071504821006,https://www.ardes.bg/product/intel-core-i5-14600k-3-5ghz-bx8071514600k-361380,60 месеца гаранция,L2: 20 MB L3: 24 MB,20,3.50 GHz,LGA1700,14,,,,,,,,,,,,,,,,,,,,,
4.40 GHz,BGN,1,лв461.58,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12400 (2.5GHz) - BX8071512400SRL5Y,https://www.ardes.bg/product/intel-core-i5-13600kf-3-5ghz-tray-cm8071504821006-449919,36 месеца гаранция,L2: 7.5 MB L3: 18 MB,12,2.50 GHz,LGA1700,6,,,,,,,,,,,,,,,,,,,,,
4.40 GHz,BGN,1,лв461.58,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12400 (2.5GHz) - BX8071512400SRL5Y,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-tray-cm8071505093011-513737,36 месеца гаранция,L2: 7.5 MB L3: 18 MB,12,2.50 GHz,LGA1700,6,,,,,,,,,,,,,,,,,,,,,
4.40 GHz,BGN,1,лв352.05,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-11400 (2.6GHz) - BX8070811400SRKP0,https://www.ardes.bg/product/intel-core-i5-12400-2-5ghz-bx8071512400srl5y-242513,,L3: 12 MB,12,2.60 GHz,LGA1200,6,,,,,,,,,,,,,,,,,,,,,
4.40 GHz,BGN,1,лв352.05,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-11400 (2.6GHz) - BX8070811400SRKP0,https://www.ardes.bg/product/intel-core-i5-13400-1-8ghz-tray-cm8071505093004-513723,36 месеца гаранция,L3: 12 MB,12,2.60 GHz,LGA1200,6,,,,,,,,,,,,,,,,,,,,,
4.60 GHz,BGN,1,лв375.52,,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13400F (1.8GHz) - BX8071513400F,https://www.ardes.bg/product/intel-core-i5-11400-2-6ghz-tray-cm8070804497015-217146,36 месеца гаранция,L3: 20 MB,16,1.80 GHz,LGA1700,10,,,,,,,,,,,,,,,,,,,,,
